1. Faixa etária:;2. Gênero:;3. Universidade pública do Estado do Paraná em que atua:;5. Área principal de atuação docente:;7. Tempo de docência no Ensino Superior (não somente na atual IES):;8. Maior titulação acadêmica concluída:;9. Minha formação inicial abordou adequadamente o uso pedagógico de tecnologias digitais educacionais.;10. Sinto-me preparado(a) para incorporar novas tecnologias digitais educacionais às minhas práticas docentes.;11. Já tive contato formativo com o tema Inteligência Artificial aplicada à educação.;12. Nos últimos 24 meses, participei de formações continuadas em tecnologias educacionais.;13. Tenho uma compreensão clara do que é Inteligência Artificial e de como ela funciona em termos gerais.;14. Conheço a diferença entre Inteligência Artificial tradicional (preditiva) e Inteligência Artificial generativa (criativa).;15. Já utilizei ferramentas de IA generativa em contextos pessoais ou profissionais.;16. Sinto-me confiante para avaliar criticamente respostas ou conteúdos gerados por ferramentas de IA.;17. Considero que a IA terá impacto significativo no ensino superior nos próximos anos.;18. Quais ferramentas de IA você já utilizou ao menos uma vez?  ;19. Para quais finalidades você usa IA?  ;20. Utilizo ferramentas de IA para apoiar o planejamento de aulas e atividades didáticas.;21. Utilizo IA para criar ou adaptar materiais didáticos considerando o perfil dos estudantes.;22. Integro a IA em atividades de ensino alinhadas a objetivos pedagógicos claros.;23. Utilizo IA para apoiar processos de avaliação formativa (feedback, rubricas, análise de produções).;24. Consigo identificar limites, riscos e implicações éticas do uso da IA em processos avaliativos.;25. Considero aspectos éticos (viés, privacidade, autoria) ao utilizar IA em contextos educacionais.;26. Discuto com meus estudantes o uso responsável e crítico da IA.;27. Busco ativamente atualizar-me sobre IA e suas implicações para a educação.;28. Compartilho, discuto ou oriento colegas sobre práticas pedagógicas envolvendo IA.;29. A formação docente em IA generativa pode contribuir para a melhoria da qualidade do ensino superior.;30. O uso pedagógico adequado da IA pode tornar as aulas mais engajadoras e significativas.;31. A formação em IA pode apoiar práticas pedagógicas mais inclusivas e personalizadas.;32. Sem formação adequada, o uso da IA pode gerar impactos negativos na educação superior.;33. Existe alguma orientação/política institucional (ou do curso/departamento) sobre uso de IA por docentes e estudantes na IES onde atua?  ;"34. Na sua opinião, qual é a principal dificuldade para a adoção, o uso, de IA no ensino superior? 
(Marque até 2 opções)";35. Se você pudesse participar de uma formação docente, qual seria o seu formato preferido?;36. Qual a quantidade de horas que você acha ideal ter para uma formação docente (independente do formato)?;37. Quais são, em sua opinião, as principais dificuldades para o uso pedagógico da IA no ensino superior?;38. Quais conhecimentos ou competências você considera prioritários em uma formação docente sobre IA e IA generativa, no contexto universitário?;39. Como você acredita que uma formação em IA pode impactar sua prática docente e a aprendizagem dos estudantes universitários?
41 a 50 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;2;2;4;2 - 3;4;4;4;4;5;ChatGPT;Elaboração de atividades/exercícios;2;2;0;0;0;0;2;2;1;5;4;5;5;Não sei informar;Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas;Híbrido;30 horas;Falta de tempo para explorar cenários. Falta de conhecimento pessoal. Falta de foco em temas específicos;Exemplificações de situações problemas que possam ser aplicadas em sala de aula;Acredito que a IA pode impactar positivamente com aulas mais criativas, com foco direcionado, com aulas mais dinâmicas 
41 a 50 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Biológicas e da Saúde;Mais de 20 anos;Doutorado;1;4;1;Nenhuma;4;3;5;1;5;ChatGPT, Gemini;Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Comunicação administrativa;1;0;1;2;1;3;1;2;0;5;5;5;5;Não existe;Falta de formação docente específica;Totalmente remoto (online);menos de 20 Horas;Não saber usar as ferramentas para diferentes objetivos. Acredito que o mais comum é usar as ferramentas para buscar informações mais atualizadas. Enquanto a geração de conteúdo novo que não seja um texto, como por exemplo uma imagem, acaba sendo mais limitada.;Apresentar que ferramentas existem atualmente e em quê cada uma se destaca. Como detectar o mau uso de IA na geração de textos acadêmicos (teses, dissertações, monografias, artigos).;Considerando o conhecimento que tenho no momento sobre o tema, acredito que um maior conhecimento em IA ajudaria na atualização mais rápida de conteúdos acadêmicos e na elaboração de conteúdos mais atrativos para os alunos. A gameficação seria uma possibilidade que eu exploraria mais, se tivesse mais conhecimento sobre a criação do conteúdo.
41 a 50 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;2;4;2;Nenhuma;4;4;4;4;3;ChatGPT, Gemini, DeepSeek;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Comunicação administrativa;2;2;2;0;6;6;6;6;2;4;4;4;5;Não sei informar;Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente presencial;mais de 40 horas;A falta de conhecimento sobre os impactos (positivos ou negativos) da adoção de ferramentas de IA no ensino. Exemplo, na pandemia do Corona-Vírus, fomos cobaias (obrigados) a adotar o modelo remoto de ensino, utilizando plataformas online, e depois constatamos que isso foi uma tragédia para o ensino. O cérebro não aumenta sua velocidade de aprendizado com poluição tecnológica, necessita-se de tempo e paciência.;"No quesito conhecimento, acho que os docentes precisam desenvolver habilidades de engenharia de prompts, isto é, saber formular instruções claras e bem estruturadas para obter resultados mais relevantes das ferramentas de IA. E também considero indispensável abordar aspectos éticos, acadêmicos e institucionais para o uso responsável e consciente. 
Por fim, destaco as competências pedagógicas: apoiar o planejamento de aulas; elaborar materiais didáticos, exercícios e avaliações; estimular aprendizagem ativa e investigação pelos estudantes; promover atividades em que os alunos utilizem a IA de maneira crítica e responsável.";Pessoalmente, tal uso já me trouxe benefícios, destaco ganho de tempo na elaboração de materiais didáticos, avaliações, etc., considerando que, utilizo mais para digitação de textos para o código Latex, utilizado em textos matemáticos, o que demanda muito tempo quando feito por uma pessoa. Na aprendizagem dos estudantes, agora eles têm um material didático mais aprimorado e entregue com antecedência. Quanto ao uso de IAs pelos estudantes, acredito que a falta de conhecimento pode trazer algum prejuízo, como por exemplo, IAs resolvendo listas de exercício sem controle pelo docente, ou mesmo em provas (cola por IA). Por outro lado, acredito que o uso consciente pode ser benéfica aos alunos, porém ainda não saberia apontar tais benefícios. 
51 a 60 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;3;5;3;Nenhuma;4;4;5;4;5;ChatGPT, Copilot, Gemini, Claude;Pesquisa acadêmica;4;3;3;2;2;2;4;4;3;5;5;5;3;Sim, mas pouco clara;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);menos de 20 Horas;Tempo;Automação da avaliação e processos administrativos;Impactar positivamente
31 a 40 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;Menos de 2 anos;Doutorado;1;3;4;2 - 3;3;3;4;5;5;ChatGPT, Copilot, Gemini, Gamma, notebooklm, bohrium;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;4;5;4;5;4;6;5;5;4;5;3;3;4;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Híbrido;40 horas;Auxiliar os estudantes na compreensão de que a IA é uma ferramenta para complementar as atividades, ajudar no percurso, mas não é ela quem deve fazer - totalmente-  o trabalho por eles. ;Como funciona, estratégias para adoção em sala de aula e atividades pedagógicas de modo geral.;Uso de modo consciente e crítico.
41 a 50 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;2;3;3;2 - 3;3;3;3;3;4;ChatGPT, Copilot, Gemini;Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica, Orientação de estudantes;3;4;4;4;4;4;4;4;2;4;4;4;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas;Totalmente presencial;20 horas;Formação docente e infraestrutura;Conhecimento de ferramenta, discussões éticas sobre seu uso;Auxilia o docente a inovar nas aulas de acordo com o novo perfil de acadêmicas que estamos recebendo
31 a 40 anos;Masculino;Universidade Estadual de Maringá - UEM;Multidisciplinar / Outra;6 a 10 anos;Doutorado;1;4;3;Nenhuma;4;3;4;4;5;ChatGPT, Copilot, DALL·E/Midjourney/Leonardo, Sora, Canva;Elaboração de atividades/exercícios;2;3;3;2;5;5;4;3;1;5;5;5;4;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);40 horas;Falta de conhecimento do potencial das ferramentas.;Conhecimento das IAs;Facilidade e aprimoramento dos conteúdos das atividades pedagógicas.
31 a 40 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;6 a 10 anos;Doutorado;1;4;5;2 - 3;5;4;5;4;5;ChatGPT, Gemini, DALL·E/Midjourney/Leonardo, DeepSeek, GPAI;Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;2;3;4;2;3;3;4;4;4;4;4;4;5;Não sei informar;Falta de formação docente específica, Resistência institucional ou pessoal;Totalmente presencial;20 horas;Conscientização dos estudantes quanto às limitações das IAs na geração de respostas. Dentre os que usam IA, o melhor estudante continua sendo aquele que estuda mais pois alimenta a IA com prompts de melhor qualidade, mais detalhados, com respostas mais precisas, e com análise mais crítica dessas respostas quanto à confiabilidade.;Noções sobre o horizonte de eventos da IA, sobre sua limitação criativa (ela tenta imitar a criatividade, mas nem sempre é criativa de verdade), e o perigo do uso indiscriminado e irrestrito (perigosa tal como usar uma arma ou carro de forma negligente e irresponsável).;Tornando os estudantes usuários atentos na IA, ganhando tempo, sem perder qualidade, e sem transferir a responsabilidade do conhecimento para a IA, que é irresponsável por definição.
51 a 60 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;3;1;Nenhuma;1;1;1;1;5;Nenhuma;Ainda não utilizei IA;0;0;0;0;6;0;6;0;0;4;4;4;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas;Híbrido;40 horas;O desconhecido ;Ética, direito autoral, ferramentas pedagógicas, criação de vídeos ;Praticidade e atualização 
31 a 40 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;3;4;4;Apenas 1;4;4;5;4;5;ChatGPT, Gemini;Planejamento de aula, Pesquisa acadêmica, Comunicação administrativa;2;2;2;2;2;2;2;2;2;3;3;3;4;Não existe;Falta de tempo para explorar ferramentas;Totalmente presencial;30 horas;São muitas as aplicações possíveis. Essa diversidade e falta de tempo para explorar as diversas ferramentas é um elemento limitador de um uso mais ampliado. ;ferramentas de verificação de trabalhos e repensar a função do docente e do conteúdo na formação. O modelo educacional como um todo deve ser repensado. ;Teria mais segurança para utilizar sistemas. Mas acredito que a grande maioria deles são pagos e requer investimento da universidade. Conhecer e aprender sobre alternativas pagas seria bem interessante
51 a 60 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Biológicas e da Saúde;Mais de 20 anos;Doutorado;2;4;1;Apenas 1;3;2;1;4;4;ChatGPT, Copilot, Gemini;Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;1;1;1;1;1;1;1;1;1;5;5;5;5;Não existe;Falta de tempo para explorar ferramentas;Híbrido;30 horas;Falta de conhecimento a respeito de IA;Capacidade de entendimento;Sim, aulas mais atrativas
31 a 40 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Biológicas e da Saúde;2 a 5 anos;Doutorado;1;2;4;2 - 3;4;2;4;2;5;ChatGPT, Gemini;Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback;1;1;1;1;1;1;1;2;2;4;4;4;4;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente presencial;20 horas;"A falta de conhecimento e segurança sobre o uso adequado pelos docentes.
Estrutura física adequada.";Uso ético da IA.;Ao aprendermos o uso ético e consciente podemos orientar os alunos sobre como utilizar de forma positiva.
Até 30 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;2 a 5 anos;Doutorado;4;4;5;2 - 3;5;3;4;4;5;ChatGPT, Gemini;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica;5;5;5;5;5;5;5;6;4;4;5;5;4;Sim, mas pouco clara;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;;;
51 a 60 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;3;4;1;Nenhuma;4;4;4;4;4;ChatGPT;Pesquisa acadêmica, Comunicação administrativa;1;1;1;1;4;2;2;1;1;4;4;4;4;Sim, mas pouco clara;Falta de formação docente específica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Híbrido;40 horas;Falta de formação docente específica;Ética é fundamental;Tornar os conteúdos e abordagem mais atuais e dinâmicos
41 a 50 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;2;4;4;Apenas 1;3;2;2;2;5;ChatGPT;Criação de materiais didáticos;0;1;0;0;0;0;0;1;0;5;5;5;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas;Híbrido;mais de 40 horas;No momento falta pessoas qualificadas para ministrar cursos/ treinamento/oficinas etc....;Não sei informar.;"Acredito que a formação em IA tornará mais fácil compreender os conteúdos ministrados nas disciplinas que leciono. Estímular o interesse dos alunos pelos conteúdos das aulas.
Proporcionar imagens didáticas para avaliar  morfologia  das células sanguíneas normais, imaturas e alteradas."
31 a 40 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;1;3;1;Nenhuma;3;2;4;4;3;ChatGPT, Gemini;Criação de materiais didáticos, Elaboração de atividades/exercícios;2;4;3;4;4;4;3;2;1;3;3;3;4;Não existe;Questões éticas e insegurança quanto ao uso;Totalmente presencial;20 horas;;;
31 a 40 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;1;4;1;Nenhuma;2;1;4;4;5;ChatGPT, Gemini;Criação de materiais didáticos, Pesquisa acadêmica;1;0;1;0;1;2;2;0;0;3;3;4;5;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);menos de 20 Horas;Saber usar as ferramentas, eu por exemplo exploro, pois não sei usar;Entender de computador e sistemas;Ajudar os alunos a estudar e compreender o conteúdo, pois hoje não pegam livros para isso
51 a 60 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;1;5;1;Nenhuma;4;3;1;2;5;ChatGPT, Copilot, Conected papers ;Criação de materiais didáticos, Pesquisa acadêmica;2;2;1;0;2;4;4;2;2;5;5;5;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Resistência institucional ou pessoal;Totalmente remoto (online);40 horas;Falta de conhecimento das ferramentas e de seu uso. ;Clareza na explanação da finalidade e dos recursos da ferramenta. ;Facilidade para construção de conteúdo, para realizar pesquisa acadêmica, para interagir com os estudantes. 
31 a 40 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Biológicas e da Saúde;6 a 10 anos;Doutorado;2;4;5;2 - 3;4;2;5;3;5;ChatGPT, Gemini, Perplexity, DALL·E/Midjourney/Leonardo, OpenEvidence, NotebookLM;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Comunicação administrativa;2;3;3;1;5;6;6;6;6;5;5;5;5;Não sei informar;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente presencial;20 horas;Tempo para aprender mexer na IA;Execução de comandos adequados e conferência do conteúdo com fontes confiáveis.;Aulas mais didáticas e melhor compreendimento sobre o assunto das aulas.
51 a 60 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Biológicas e da Saúde;Mais de 20 anos;Doutorado;1;1;1;Nenhuma;4;1;3;2;4;ChatGPT, Gemini;Pesquisa acadêmica;0;0;0;0;0;0;0;0;0;3;4;3;4;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica;Totalmente presencial;40 horas;A falta de capacitação e a resistência de muitos, principalmente os professores mais antigos.;Não sei informar;Tornaria mais fácil preparar materiais didáticos atualizados, e inclusive apresentações para aulas. Fazer revisões sobre os temas que serão ministrados.
Até 30 anos;Masculino;Universidade Estadual de Maringá - UEM;Linguagens, Letras e Artes;2 a 5 anos;Doutorado;4;4;4;Apenas 1;3;4;5;2;5;ChatGPT, Gemini, Notebook LM;Criação de materiais didáticos, Avaliação/feedback;4;2;3;1;4;5;5;4;3;4;4;4;3;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;;;
41 a 50 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;1;3;2;Nenhuma;4;2;4;2;5;ChatGPT, Copilot, Gemini;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;3;3;3;1;5;5;5;3;3;4;4;4;4;Não sei informar;Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente presencial;40 horas;Não sei informar.;Não sei informar.;Não sei informar. 
41 a 50 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;11 a 20 anos;Mestrado;1;5;5;2 - 3;5;5;5;4;5;ChatGPT, Copilot, Gemini, Claude, Perplexity, DALL·E/Midjourney/Leonardo;Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica;6;2;2;3;6;6;5;6;5;4;5;5;3;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Híbrido;30 horas;Variedade de ferramentas, integração com plataformas, entendimento do funcionamento, entre outros;Questões éticas e legais, saber usar de forma pedagógica, entender o que é, de fato, que a IA faz e como responde.;Acredito que conseguirei, em especial, criar avaliações mais precisas e críticas, que consigam me dar um quadro sobre como está a aprendizagem do aluno. Vai ajudar, também, a elaborar conteúdos mais dinâmicos, interessantes e voltados para a realidade atual, tanto do aluno quanto do Brasil como um todo.
31 a 40 anos;Feminino;Universidade Estadual de Maringá - UEM;Multidisciplinar / Outra;6 a 10 anos;Doutorado;1;4;4;2 - 3;4;2;4;5;5;ChatGPT, Gemini;Planejamento de aula, Criação de materiais didáticos, Comunicação administrativa;2;2;2;1;3;3;3;4;1;5;4;4;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas;Totalmente presencial;20 horas;Conhecimento das ferramentas, estrutura da universidade, ter as versões pagas disponíveis;Saber usar os apps e ferramentas adequadamente;Melhorar meu conhecimento para aplicar em sala de aula
41 a 50 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;11 a 20 anos;Mestrado;1;1;1;Nenhuma;3;1;1;2;5;ChatGPT, Gemini;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;2;0;0;0;0;0;0;1;0;4;4;5;4;Não sei informar;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);mais de 40 horas;;;
41 a 50 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;1;2;1;Nenhuma;5;4;1;5;5;ChatGPT, Gemini;Planejamento de aula, Elaboração de atividades/exercícios, Comunicação administrativa;3;1;3;2;6;6;6;3;1;5;5;5;5;Sim, mas pouco clara;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Híbrido;mais de 40 horas;Ausência de critérios claros para o uso da IA.;Estabelecimento de parâmetros claros para a definição de créditos no uso da IA e qualificação nas principais tecnologias voltadas ao ensino e à pesquisa nas Instituições de Ensino Superior.;Melhor engajamento com a nova geração de alunos e uma melhor adequação docente à realidade atual.
41 a 50 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;6 a 10 anos;Doutorado;1;4;4;Apenas 1;5;5;5;5;5;"ChatGPT, Copilot, Gemini, NotebookLM; Manus";Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;3;3;3;4;4;4;4;5;4;4;5;4;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);40 horas;Acredito que essa resposta está principalmente na falta de formação docente nessa área.;O foco precisa integrar fundamentos conceituais, aplicações pedagógicas, pensamento crítico e ética acadêmica.;Primeiramente, no âmbito da prática docente, a formação em IA tende a favorecer maior eficiência no planejamento e na organização das atividades de ensino. Além disso, a formação em IA contribui para o desenvolvimento de metodologias de ensino mais inovadoras e interativas.
41 a 50 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;3;2;4;Nenhuma;4;1;5;2;5;ChatGPT, Copilot, Gemini, Perplexity;Pesquisa acadêmica;0;0;0;0;0;0;1;1;1;4;4;4;2;Sim, mas pouco clara;Falta de formação docente específica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Híbrido;20 horas;Conhecimento superficial do uso correto das ferrmentas de IA.;Saber o básico do funcionamento de uma IA.;Na atualização dos materiais, melhoria dos conteúdos (atualização), agilidade no preparo dos materiais e no processo avaliativo etc.
51 a 60 anos;Masculino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;2;5;4;Nenhuma;5;4;4;5;5;ChatGPT, Copilot, Gemini, Perplexity;Criação de materiais didáticos, Avaliação/feedback, Pesquisa acadêmica, Orientação de estudantes;2;2;0;0;4;4;0;1;0;3;3;3;4;Não sei informar;Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);20 horas;O caráter do brasileiro.;Não creio que demande competências ou conhecimentos especiais para a formação.;Obviamente pode, se será positivo ou não é algo que merece escrutínio.
41 a 50 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;2;2;1;Nenhuma;3;1;3;3;5;ChatGPT, Gemini;Elaboração de atividades/exercícios, Pesquisa acadêmica;1;0;0;0;0;1;0;1;0;4;4;4;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Híbrido;mais de 40 horas;Fata de formação e estrutura ;;Acredito que pode contribuir para a ampliação de recursos pedagógicos e para a adaptação de materiais pedagógicos de maior acessibilidade. 
41 a 50 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;2;4;3;Nenhuma;5;5;5;4;5;ChatGPT, Copilot, Gemini, Claude;Pesquisa acadêmica;0;0;0;0;4;4;4;0;0;5;5;5;5;Não sei informar;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);40 horas;Falta de conhecimento e formação de como usar as ferramentas de IA.;Uso de IA e IA generativa para preparação de aulas e avaliações.;Melhorar a preparação de material e tornar as aulas mais interessantes para os estudantes.
31 a 40 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Biológicas e da Saúde;2 a 5 anos;Mestrado;1;4;4;Nenhuma;4;4;5;4;5;ChatGPT, Copilot, Gemini, Claude, Perplexity, DALL·E/Midjourney/Leonardo, Manus ;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;4;4;3;4;5;5;6;4;2;4;5;5;5;Não sei informar;Falta de formação docente específica, Resistência institucional ou pessoal;Totalmente remoto (online);20 horas;Resistência de docentes mais antigos, falta de orientação como usar e como avaliar as informações geradas;Avaliar a resposta gerada e criar prompts acertivos;Economizar tempo e minimizar esforços 
Acima de 60 anos;Feminino;Universidade Estadual de Maringá - UEM;Linguagens, Letras e Artes;Mais de 20 anos;Doutorado;1;1;1;Nenhuma;2;1;1;1;5;Nenhuma;Ainda não utilizei IA;0;0;0;0;0;6;0;0;0;3;3;3;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica;Totalmente presencial;40 horas;Desconhecimento;Não sei dizer;Não sei dizer
31 a 40 anos;Feminino;Universidade Estadual de Maringá - UEM;Multidisciplinar / Outra;11 a 20 anos;Doutorado;1;4;1;2 - 3;5;3;5;4;5;ChatGPT, Copilot, Gemini, Claude, Perplexity;Elaboração de atividades/exercícios, Pesquisa acadêmica;2;2;2;0;5;5;5;5;1;2;3;4;5;Não existe;Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);30 horas;Erros recorrentes nos conteúdos apresentados pela IA;Validação das informações nos outputs da IA;Pode ajudar tarefas rotineiras, manuais, diminuindo tempo em tarefas operacionais
Acima de 60 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;3;2;Apenas 1;3;2;2;3;5;Nenhuma;Ainda não utilizei IA;0;0;0;0;2;6;6;3;3;5;5;5;5;Não existe;Falta de formação docente específica;Híbrido;mais de 40 horas;Falta de formação do professor, dificuldades de entendimento quanto aos limites éticos da utilização da IA na educação e a carência de recursos materiais em sala de aula.  ;Conhecimento técnico para utilização adequada das ferramentas e clareza quanto aos limites éticos da utilização da IA na educação. ;Poderá se constituir em um importante instrumento de apoio à melhoria das práticas pedagógicas docentes, resultando em uma aprendizagem mais lúdica, interessante e atrativa para o discente. 
51 a 60 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;11 a 20 anos;Mestrado;1;3;4;2 - 3;4;5;5;4;5;Copilot, Gemini;Elaboração de atividades/exercícios;0;0;0;0;1;1;0;1;0;2;2;1;5;Não existe;Falta de formação docente específica;Híbrido;mais de 40 horas;;;
41 a 50 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;1;2;1;Nenhuma;3;2;4;2;5;ChatGPT, Gemini, Perplexity;Planejamento de aula, Elaboração de atividades/exercícios, Orientação de estudantes;1;2;1;1;1;1;3;2;0;5;5;5;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente remoto (online);30 horas;Falta acesso as plataformas, muitas delas são pagas e a instituição não nos dá esse respaldo e as versões gratuitas por mais que sejam boas, não engloba algumas atualiazações necessárias a produção de conteúdo.;Um bom respaldo teórico sobre o conteúdo a ser aplicado a fim de evitar ensinar conteúdos sem validação acadêmica.;Sim
51 a 60 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;5;5;4 - 5;4;4;5;1;5;ChatGPT, Gemini;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica;3;3;3;3;3;3;3;3;3;4;4;5;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente remoto (online);20 horas;Falta de infraestrutura e de conhecimento na área.;Competências técnicas, pedagógicas, éticas.;Principalmente na redução de tempo e na forma como a IA pode complexizar um determinado conteúdo, levantando novas problemáticas.
